creator	translator	title	genre	pages	volume	issue	date	journal title	journal subtitle	issue name	journal editor	publisher	journal location	issue length (pp)	issue height (cm)	issue width (cm)
"Bynner, Witter"		One of the Crowd	poetry	153-155	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		Neighbors	poetry	155-155	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		The Hills of San José	poetry	156-156	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		Grieve Not For Beauty	poetry	156-157	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		The Mystic	poetry	157-157	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		Passing Near	poetry	158-159	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Wyatt, Edith"		"Book Review: The Story of a Round House and other Poems, by John Masefield"	articles	160-165	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Pound, Ezra"		"Book Review: Présences, par P.J. Jouve"	articles	165-166	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Rittenhouse, Jessie B."		The Poetry Society of America	articles	166-168	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
		Notes	articles	168-171	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
		Books Received	articles	172-172	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
		Advertisements	advertisements	I-P	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Lee, Agnes"		The Silent House	poetry	173-178	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Broadus, Edmund Kemper"		The Oracle	poetry	179-179	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Broadus, Edmund Kemper"		A Gargoyle on Notre Dame	poetry	179-179	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Torrence, Ridgely"		Santa Barbara Beach	poetry	180-181	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Meynell, Alice"		Maternity	poetry	181-181	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Davis, Fannie Stearns"		Profits	poetry	182-183	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Davis, Fannie Stearns"		Two Songs of Conn the Fool: Moon Folly	poetry	183-184	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Davis, Fannie Stearns"		Two Songs of Conn the Fool: Warning	poetry	184-185	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Davis, Fannie Stearns"		Storm Dance	poetry	186-186	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"McCoy, Samuel"		Dirge for a Dead Admiral	poetry	187-189	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"McCoy, Samuel"		A Sweetheart: Thompson Street	poetry	189-190	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"McCoy, Samuel"		The Off-Shore Wind	poetry	190-191	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Noyes, Alfred"		The Hill-Flowers	poetry	192-194	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Monroe, Harriet"		The Servian Epic	articles	195-198	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Flint, F. S."		Imagisme	articles	198-200	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Pound, Ezra"		A Few Don'ts by an Imagiste	articles	200-206	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Notes	articles	206-208	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Books Received	articles	209-209	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Periodicals	articles	209-209	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Advertisements	advertisements	E-K	1	6	1913-03-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Pound, Ezra"		Contemporania: Tenzone	poetry	1-Jan	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: The Condolence	poetry	2-Feb	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: The Garret	poetry	3-Mar	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: The Garden	poetry	3-Mar	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: Ortus	poetry	4-Apr	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
